district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.829387748976695,0.9528896875872409,0.9934227527866917,0.48238921495908527,0.6433177246928764,0.421695684358515,0.8020708975476397,0.37021938054264875,3543955925.7661834,3223808.228712653
2,0.8063708168656166,0.8142129883444476,0.8993525829111114,0.49897327876627057,0.553178233979111,0.42970595719905563,0.743759526983763,0.4438967614020707,2940283633.854109,4487841.1810197085
3,0.9205044468243835,0.7772174387527663,0.900001435330085,0.6278025368177661,0.5750016221793199,0.46347246783444523,0.7582886140377685,0.5291418103347386,13661152065.209055,9610372.1189935375
4,0.8895144324295694,0.6750707943672197,0.7904094057264112,0.6558140900832783,0.4165286739922905,0.42767692964537746,0.6453903268505738,0.411276531615316,19574293733.49682,11980681.997564306
5,0.7769862292620379,0.5671746658210017,0.7783085457098822,0.5872586650548032,0.3428814954045402,0.37686009018266825,0.5855608383460597,0.4072831217440851,26976492336.598034,15828832.105188636
6,0.899139687597643,0.6523779516688559,0.8340561826053202,0.7828465315820043,0.38521931110875174,0.5541079657873851,0.6206603830669005,0.42802296730803147,13887986648.200727,9438760.84305225
7,0.9265151203315656,0.6057158616691555,0.768425875302353,0.7551026052817834,0.2989007492661989,0.5216028494955425,0.546718162553796,0.4945184223090432,37196854024.27724,21019993.134816602
8,0.8194744456397652,0.6973777690303984,0.8109790600612194,0.48149951898147364,0.3433651220068431,0.33094223625352726,0.585973652997166,0.33786302227704856,24075087074.294235,13187516.568419585
9,0.8565580727865623,0.5825185357315961,0.7642590171070716,0.6493576857419635,0.4398633138137737,0.3817549668089584,0.6632219189786883,0.3388170004437253,3034027301.124784,4247829.181421568
10,0.7762524105531659,0.5014768432353667,0.6502609437059746,0.6455820090690301,0.24156080630711838,0.31474779828597277,0.49148835826204307,0.41054513194899517,2190793423.224509,2279516.2031843048
11,0.7455595473150073,0.38951216252898474,0.5436608497368453,0.6051783812778856,0.09512672592166707,0.17336037951305525,0.3084262082276198,0.16319702752511406,331768238.5478816,2010634.6032968152
12,0.5549331044608368,0.3434804776150099,0.4110552569740536,0.7566720457561978,0.07687281625892856,0.12973431201675004,0.27725947460624056,0.1431789448880989,508846809.7915425,2064328.5555120916
13,0.6561589172727059,0.40564116552636703,0.557315902930291,0.78024471544686,0.13247088876257565,0.18004762637700328,0.36396550490750584,0.17387299647776872,651588370.9056622,2311684.0657794457
14,0.6341360356460081,0.3169531065527745,0.4761526327046275,0.9164806376581262,0.10067138094744309,0.15890293806003608,0.31728753670360754,0.14386051059331756,144685684.78094587,1175395.9762645601
15,0.6139648267350524,0.4487906716381946,0.5219709731532596,0.9677889759461187,0.11540687007123689,0.14913098972591937,0.33971586667572196,0.17625158218751305,192560507.40722355,1290291.832093214
16,0.8228396510368885,0.69412746423355,0.7833104864754812,0.8398168918182694,0.3204019665037053,0.3446054397133217,0.5660406049955298,0.32634327029123267,105178305.36621363,1028582.0310757931
17,0.8140376419648999,0.32980554321575795,0.5186952187931667,0.9815146436301702,0.15551350060923047,0.30746408006005094,0.39435200089416367,0.3131489695773512,979500398.9614846,3646169.655218004
