district,comp_bc,comp_box_reock,comp_ch,comp_edges_rem,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.8909348833960673,0.5372943538965178,0.7145063458313285,1360,0.6976293705697514,0.2832462688244887,0.3142081771963165,0.5322088582732242,0.39589867521626376,15385939351.31178,10816231.44465537
2,0.8659156844998196,0.6411942934911721,0.8371117751037093,1360,0.6964827444662975,0.2668868164628696,0.47211927762965444,0.51661089464206,0.4213807698063665,2565609515.671062,4638888.990234285
3,0.8104920730675459,0.5382041011059302,0.7661447681083783,1360,0.8180635832903049,0.349902615341256,0.3754448245925525,0.5915256675253037,0.3865519401486896,2894262180.4187827,2714867.3817258687
4,0.7937896914666281,0.5535345399061509,0.7622245218080566,1360,0.5624180503235853,0.23893472116289635,0.2184851786440812,0.4888094937323705,0.25683490336329845,148797423.12164617,1184042.1976845735
5,0.8704821090010938,0.6528669756118772,0.8306115069321179,1360,0.599136270349411,0.28828639539389317,0.4750778472701839,0.5369230814501209,0.455503400777586,171336510.9557391,1391153.7354455115
6,0.8949958212323473,0.7363231106159156,0.8584445022906426,1360,0.6131757868333098,0.3280313785994859,0.4937282355761377,0.5727402365815466,0.46100273958330323,205572145.66188014,1559441.1585046828
7,0.8763434417535894,0.6044678374626727,0.7490160900761237,1360,0.939637423224935,0.317323278420001,0.4378077291750683,0.5633145466078441,0.5063059371294791,2003631338.2154493,2128659.760710837
8,0.795475655956292,0.5792776180624639,0.77332621999465,1360,0.6228881795246116,0.3168891587577567,0.38974690032983866,0.562929088569561,0.36265683103513974,1800321147.7211592,3725147.3732859814
9,0.9221901246715014,0.6129233941215666,0.821355141084205,1360,0.8793323949194605,0.3010893160087914,0.5910510415926122,0.5487160613730853,0.5633121285839487,895734233.3888059,2869806.634690899
10,0.8632468994796454,0.6360227975288081,0.817613285397513,1360,0.9967195519910951,0.22250764627992897,0.4731911204960048,0.47170716157371295,0.4452523654823838,913323968.4720271,3397816.704538471
11,0.9171929850192114,0.5992240013570631,0.7898357155389465,1360,0.9125692743822029,0.20207299994062583,0.5795355202822106,0.4495253051171044,0.5435719233673637,5352422668.616191,5213179.2956887605
12,0.8592221933070576,0.7483871103499166,0.8965784961938613,1360,0.5146657109717743,0.32960628753623206,0.44779879157236663,0.5741134796677675,0.38087355751462176,25451526872.99145,14672538.194824515
13,0.9133907802451121,0.6774657241895582,0.8330619424600929,1360,0.7974519442937437,0.26510466841219643,0.5801529305227923,0.5148831599617494,0.5629282666542857,40614727390.78347,23012673.388391476
14,0.7851271350255631,0.5347202648824882,0.7319653345108494,1360,0.6949235793040759,0.18957964308466738,0.3357650588463312,0.43540744491185185,0.30557502690394356,16284225706.085604,10151704.069059584
15,0.8236894970371947,0.6305756028823744,0.7069714563213059,1360,0.8097685033498297,0.20106208255393065,0.4557797327463516,0.4483994676111141,0.3341736988688736,24257470010.383408,13716579.612348512
16,0.8762897701414039,0.3656661471191988,0.5405864313099139,1360,0.5470203464406083,0.11638781675780853,0.24108241436515268,0.3411565868597711,0.2816083109984348,8644808830.513815,5608861.122658894
17,0.8616362414449737,0.022431516754923008,0.03352783141906356,1360,0.5490908703905882,0.07415844572410724,0.014917763753885776,0.27232048348243515,0.07259906773055157,2405345187.4944077,2030647.2171648387
