district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.886966650268488,0.645409583021529,0.722448715371207,0.842904328330555,0.124197579344456,0.488018800279914,0.352416769385987,0.359310832891089,404291022.195237,202253.206228487
2,0.854320172167342,0.484302141169693,0.711775823118059,0.590780998359958,0.214599091130047,0.30349026958179,0.463248411902347,0.333711727996476,15571227466.4781,954887.959793729
3,0.898772837063902,0.415276221992699,0.585441627005755,0.87667363702503,0.0971752033777893,0.29801554481322,0.311729375224391,0.322390815627086,117666317.365973,123354.013261352
4,0.880023263314098,0.470249364936029,0.676151796852623,0.787781660985419,0.192105400128157,0.395366551085855,0.438298300393872,0.369929953586918,430398136.515623,167791.64684375
5,0.884176314456349,0.504969605770631,0.666669428863559,0.895979719916026,0.115207647996735,0.507195810847847,0.339422521345793,0.325824317740789,225375208.770795,156789.634533708
6,0.87923292191417,0.506556244885755,0.728718489552775,0.796720511330822,0.159619301014024,0.4539700486579,0.399523842860504,0.409258231822504,1119138625.66388,296827.525937404
7,0.877039210341801,0.61073442666327,0.739766593239146,0.898050762039981,0.250782341529188,0.444326042126283,0.500781730426728,0.518979047532729,1960018962.87405,313391.051855249
8,0.778895277987737,0.572596432232888,0.790288259121318,0.654089897069665,0.208054329175158,0.424863412786092,0.456129728449219,0.316294025259903,683813708.493286,203228.894606319
9,0.69722607328416,0.389947590436328,0.582011096353687,0.822272568852204,0.122747644835146,0.278052746000679,0.350353599717694,0.242824044238473,243619150.172636,157926.154317875
10,0.825666013071558,0.74667137679005,0.867516226577347,0.469313646283004,0.301156954203282,0.375354083843311,0.548777691058303,0.347318380662574,3537766528.72957,384213.89615548
11,0.844620301393943,0.628739129499996,0.806301313902279,0.757903278340945,0.350549992654298,0.507309315263468,0.592072624476338,0.502926285745983,2784989671.19951,315967.013487746
12,0.93101015261938,0.507005698128722,0.700439710746089,0.928865843687309,0.194806739540715,0.432370949387027,0.441369164691775,0.468033671865484,26970942565.6011,1319018.85976879
13,0.918522579681192,0.592035754212905,0.744391233390485,0.863721562759416,0.274196869915598,0.59475067485939,0.523638109686067,0.483249159069477,22234299382.6633,1009451.38945614
14,0.748882456445448,0.456247786032989,0.659110098558791,0.648071291216228,0.215310832264332,0.332973975926665,0.464015982768194,0.288601994810397,2669518700.7068,394719.403598429
15,0.812429836149059,0.569950046185707,0.791879626841078,0.534061357701761,0.291798689430912,0.357829848061785,0.540183940367457,0.329888051688848,23435112436.0116,1004608.3516233
16,0.837143162538173,0.571291705691408,0.763933491337317,0.73305647053687,0.278193599488301,0.43532209450414,0.527440612285688,0.430575416144148,32173008630.2014,1205527.72505257
17,0.89398125103285,0.63328265477538,0.722369608215177,0.931285169661519,0.347824466002396,0.496116308167119,0.589766450387266,0.499308846252817,15469542650.7641,747590.210173929
