district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.953232664088344,0.684848616266363,0.822983737673402,0.839672158969458,0.199262952482939,0.623598635672081,0.446388790722772,0.563637422342552,282509527.149798,133477.542047267
2,0.800685329364102,0.481332917165112,0.721771943500753,0.770973266448891,0.202237339984851,0.371049024739257,0.44970806084042,0.460134038471716,2082191954.25816,359695.199550672
3,0.869759021522457,0.518221427796821,0.685023337836629,0.793634705027055,0.164704820862237,0.323581934787438,0.405838417183782,0.321695181603669,201071665.815756,123858.89879467
4,0.665120966444794,0.455182610057853,0.569825825319814,0.869497396716248,0.12512181240209,0.245203860629295,0.353725617395871,0.257928499405524,241547235.852707,155754.088193133
5,0.838060387970523,0.605794221585439,0.773409395555522,0.393202638482063,0.187261599150955,0.301288633641465,0.432737332744652,0.313114119031089,512463533.160993,185443.686141694
6,0.834091457020591,0.517599733758426,0.710181899236108,0.874424409663396,0.199652413502726,0.448478329160816,0.44682481298908,0.369674503012207,2174590473.98205,369961.379665619
7,0.87496950910827,0.522811263968903,0.769226899680318,0.770910921047576,0.241136781685035,0.409749468598056,0.491056800874435,0.426271225941665,650368877.701849,184099.698462954
8,0.787244042871535,0.536501030241438,0.770025061784655,0.839586482169801,0.37268989245766,0.451974897291553,0.610483326928475,0.412973300966735,3559734951.01934,346449.513685291
9,0.579626914734097,0.353739254190875,0.487851618569794,0.508296628198265,0.107143933886685,0.136834911291269,0.327328480103222,0.167653549238903,100655965.861464,108652.793926129
10,0.825486894623041,0.757223597017711,0.899756471027472,0.469313646283004,0.405566227660981,0.382632028894064,0.63684081814923,0.351067419169687,3606362213.46237,334278.706032601
11,0.874207844078837,0.617276138891641,0.780426675480818,0.616670099916843,0.276043804898073,0.415111881950511,0.525398710407698,0.374694575503149,864996787.803355,198437.239517014
12,0.679270229214966,0.48134618293222,0.624259819505802,0.398530204100541,0.161649792701456,0.196775179194906,0.402056952062088,0.199231779089996,38663934641.9961,1733685.75190695
13,0.890243814316615,0.51600790912044,0.723477564657013,0.986746604033258,0.339233263161927,0.442230691181118,0.582437346984143,0.419888298986995,13981201190.5525,719660.986269734
14,0.798354721734491,0.609353548178653,0.754096928850562,0.661415285488706,0.311810334987517,0.400130927351683,0.558399798520305,0.383415383146378,11943811699.8749,693794.979835634
15,0.933702681564468,0.672321935759298,0.790313907376596,0.924821096524987,0.395734876348055,0.542095399290863,0.629074619062044,0.518327914161281,22068935224.0185,837131.065542118
16,0.884021081207769,0.637075871997974,0.850243090305229,0.700977022907924,0.394425651048049,0.414730484565084,0.628033160786951,0.418089367263603,34156133971.8601,1043173.89539974
17,0.797465211876004,0.425134001575436,0.620135255743325,0.758829690581662,0.303192683128732,0.351480962100237,0.550629351859063,0.434413410213584,14940219250.037,786908.178885732
