district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.891676419989673,0.472434658733738,0.67202369631644,0.664226501651961,0.274911931997893,0.366714365298054,0.524320447815926,0.385170894478993,15485107221.1064,841327.811447008
2,0.867079013243483,0.682702879276245,0.855292004620776,0.843631955280972,0.448407284222939,0.471817236427603,0.669632200706431,0.488155326154325,2165116765.64831,246325.438194532
3,0.740956594948296,0.370015911722807,0.516979168886439,0.69186358801613,0.1149878796012,0.321014668714959,0.339098628132288,0.218398119661041,176769985.228182,138989.874263038
4,0.758038228378891,0.484533347572044,0.717086751183753,0.79116897408882,0.172595275951174,0.364463741049261,0.415445876079152,0.36442915516461,375779491.881279,165408.192962339
5,0.882825864991833,0.469551837653867,0.659776833299166,0.833426036538702,0.171042549721891,0.404516893666007,0.413572907383802,0.383292389713346,355491629.282852,161609.743326549
6,0.857526665839508,0.607231442395461,0.797286242259672,0.68585872345759,0.333130893045693,0.393036711794636,0.577174924131058,0.40641224681447,520865584.7744,140171.689860217
7,0.887782540943202,0.582421106901295,0.838498984266163,0.920430698371733,0.389100698965598,0.488325307910878,0.623779367216966,0.549993073477391,1950542418.57649,250987.230396644
8,0.842008152832457,0.526805374446251,0.693345582649885,0.688272755435475,0.175275401759262,0.376807674699555,0.418659051925624,0.32898481348976,518584893.670963,192821.020584159
9,0.789759332427608,0.53499646992789,0.732325549350006,0.511445144636077,0.222849922205169,0.253610036345071,0.472069827679305,0.288114050704356,141326054.475759,89270.8779369968
10,0.81856576190492,0.75663223427991,0.872472730904275,0.496894039792619,0.402954795321184,0.412560757508209,0.634787204755408,0.366015596111221,3501324017.18777,330440.232612548
11,0.813575526801919,0.661326359516196,0.840824791672691,0.601188655336435,0.376005337490636,0.439227891365286,0.613192740898517,0.453844666736412,2949866229.46926,313985.135239402
12,0.91273791271385,0.583656809421409,0.773489523518761,0.999299846413866,0.296768869973929,0.585596176817224,0.544764967645616,0.471288449272977,25727022971.9077,1043735.67428288
13,0.848609984630102,0.506841624252446,0.699886203727692,0.72155721426561,0.274502893749539,0.359454803278632,0.523930237483522,0.331425706555763,24649336941.2404,1062267.9762628
14,0.714574339168767,0.465039512830457,0.63426242202724,0.397057845609138,0.128302297244253,0.231190242642827,0.358193100497836,0.27750974610736,999048585.61614,312810.282469432
15,0.92353408629188,0.549827135188541,0.753343439084716,0.999026400614089,0.230266903149117,0.479115359923,0.479861337418547,0.443734615670163,33664686232.0141,1355428.01409183
16,0.88685039314293,0.548898070242434,0.812726782899131,0.953965176613295,0.427866492364319,0.420954627002972,0.654115045205596,0.378152528863942,17542350996.1287,717785.518008434
17,0.866237700259819,0.65196247768587,0.747018341822058,0.995923974084999,0.375970479442622,0.559847659356047,0.613164316837356,0.431288542027703,19307509146.1982,803324.816553669
