district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.897668990452905,0.544472679764379,0.75204069787775,0.663597205920555,0.265955899150133,0.444931417286975,0.515709122616745,0.481541592887872,267841324.878309,112496.47397408
2,0.912755996743742,0.77367574823104,0.913332939602301,0.878529578657721,0.479150530980508,0.606400095999026,0.692207000094992,0.589334165476731,1520187371.54426,199672.155088755
3,0.828182833645658,0.441534562120243,0.626106273700433,0.786187105984047,0.147455532804312,0.380647677796841,0.3839993916718,0.298787924533882,243762469.366824,144131.138119318
4,0.873653132302401,0.4995802859326,0.670236908171429,0.944902057945702,0.191585114367067,0.343413925035008,0.437704368686293,0.351706408174956,380070271.791342,157890.500508187
5,0.588696138182248,0.53394007674052,0.709329694556816,0.482446233216037,0.182606204395152,0.296508723962083,0.427324472029337,0.252170823801367,955760222.889491,256461.184200847
6,0.786729473820687,0.50904375029866,0.608633596142186,0.963357631972166,0.1736958139941,0.461660701781529,0.416768297731605,0.324568281099602,569604965.399685,203000.514744828
7,0.926599668952527,0.684645132244639,0.832722171775462,0.685408364993536,0.272688831427547,0.496475547206015,0.522196161827667,0.55750682673021,1930003746.89992,298229.316156129
8,0.845935043960653,0.64127528968711,0.782966994888904,0.458308487269666,0.192156754299629,0.340062933924811,0.438356880064211,0.392415740215846,554878076.708481,190491.625542081
9,0.872270778730914,0.642487843559701,0.803842337839388,0.644259559293106,0.261594834228471,0.430753707464193,0.511463424135559,0.43330888599479,144798984.466984,83401.3553129078
10,0.813485962148134,0.683399727325722,0.849620305173231,0.486993808036292,0.458605005335016,0.351983601040092,0.677203813733366,0.332173066650014,3626913530.8357,315249.3048912
11,0.787734317585063,0.498506738650229,0.811397949118826,0.893793997588774,0.298419726479008,0.456663340029549,0.546278066994281,0.42493457302385,3397029758.07779,378216.82423856
12,0.857308013828335,0.482816500206402,0.691556886799917,0.606507338217331,0.240651545521257,0.295829390705603,0.490562478713218,0.365720500758481,40266462546.5727,1450047.88248013
13,0.712748035687407,0.424009342088221,0.542854455786353,0.575900563982184,0.207159648252094,0.217823793890112,0.455147941061029,0.207382150847328,19359624539.0645,1083679.39228107
14,0.897455219668167,0.536940815748338,0.747176863482496,0.82853794214406,0.326408915486147,0.456024822908714,0.571322076841204,0.476784215514383,11566620991.5955,667309.301298895
15,0.835371133760433,0.61041480600795,0.785008447840666,0.725840482626349,0.375742445625861,0.366192851490248,0.612978340258334,0.382198716029769,22453574551.0756,866567.800757033
16,0.929737417087666,0.703311049521065,0.838703730358657,0.946413925795168,0.44288060024661,0.626010281738347,0.665492749957961,0.576192755414733,21952492497.5416,789229.885524204
17,0.846228569600356,0.567737760541392,0.74407003749613,0.912548709074673,0.358036297047814,0.482181025390889,0.598361343209781,0.423105939111472,20841103315.6983,855267.081758527
