district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.872219559252019,0.519002165170333,0.745890924465166,0.904217231475534,0.181756054649541,0.500900365675727,0.426328575924182,0.431628115987429,285044064.19747,140383.636868964
2,0.888325245110664,0.584873544740345,0.810088768068298,0.906003630935036,0.376238628192858,0.422522161252784,0.613382937644061,0.438354129103539,1938907154.20427,254478.881600004
3,0.82438571056939,0.392956032459951,0.573229423595675,0.85799074182476,0.113833878435274,0.317172847600944,0.33739276583127,0.305820927604942,140054227.527956,124341.836293977
4,0.728551403159513,0.455677669535543,0.628616280896282,0.866007752196325,0.139008895845583,0.270029560390396,0.372838967713386,0.239226726417128,308622812.965612,167031.217923296
5,0.875642898741102,0.518403872894363,0.726919459831262,0.864090854930591,0.268871310660604,0.340718481339921,0.518528023023447,0.39724079315237,1118026222.33756,228590.772204721
6,0.814100555712976,0.458475032698529,0.644133968602189,0.809654011959803,0.16236248032091,0.401943893024539,0.402942279142943,0.310917711131615,545217880.540437,205422.087645557
7,0.955142909169498,0.751383917792628,0.867933276365123,0.784223188991201,0.369473846602776,0.54535472124512,0.607843603736008,0.622303679128407,1850695125.96281,250888.365170194
8,0.897562982855307,0.583305869626935,0.70040444194309,0.988230960251922,0.165396807505192,0.536515671272967,0.406690063199473,0.465251509645662,571499631.372888,208376.792166641
9,0.870579799549584,0.546389743160989,0.709957598236492,0.968153636847218,0.176657312312253,0.546563630995605,0.42030621255491,0.434429550336894,337221869.773196,154880.587971892
10,0.827003933716106,0.776804164231564,0.878615602368325,0.469313646283004,0.392710528225951,0.386782702715176,0.626666201598548,0.347318380662574,3645482914.54987,341543.632720084
11,0.760964501160836,0.553441726909042,0.779203143380653,0.88559487507154,0.344804560628802,0.377348969376065,0.587200613614123,0.389493181570314,3055768072.06538,333717.226641075
12,0.826970694301308,0.486417934234259,0.672321304669995,0.588102483873556,0.195877143868896,0.317315623337089,0.442580098817034,0.312710984690785,43191035319.6128,1664599.8756314
13,0.910769829663304,0.498556158415715,0.742771429498256,0.763126176761096,0.307336722621862,0.355147985386497,0.554379583518244,0.430295442591741,12892865581.0343,726059.866629397
14,0.793534654009565,0.478981460721402,0.652000588058177,0.82224885661945,0.261393094917594,0.339873183734232,0.5112661683679,0.313492772593408,12787056010.8702,784048.918923662
15,0.938048682826968,0.637924673833189,0.839941114296911,0.796253398943303,0.423052700777614,0.57846362238067,0.650425015491881,0.581270326787111,29755503665.8432,940137.441358518
16,0.880157207113713,0.597113455791467,0.742294572617194,0.972261634522301,0.317276408274038,0.479174932595043,0.563272942962857,0.434991092476532,18707466144.982,860782.691657662
17,0.833757738093851,0.553682123944989,0.69121261782845,0.912548709074673,0.307636001378122,0.45128239091333,0.554649440077354,0.378563217531123,18900262466.5669,878658.815701039
