district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.879097987809404,0.603181503980861,0.831457227934942,0.94610147240041,0.342274884190077,0.498443555392663,0.585042634506304,0.544909478962542,1994460927.44894,270601.489158769
2,0.910411510758918,0.552620093760895,0.74930560521627,0.91509296975881,0.264877334614893,0.560947387062664,0.514662350104312,0.438417289099493,746215647.530493,188154.543076309
3,0.757148873417305,0.339499484823819,0.470046207104665,0.803706394328741,0.1027251316115,0.297433300898554,0.320507615528088,0.255187334913458,758215740.162121,304553.066558342
4,0.866922975282985,0.554261895196206,0.739028897722155,0.779540790985146,0.218280159455477,0.487136682890792,0.46720462268205,0.505764423605948,261149311.859455,122614.616382561
5,0.880142835874032,0.575647967568679,0.719206026713428,0.995125417834909,0.178558304671009,0.499052593877146,0.422561598670547,0.389650409721025,290225756.82533,142916.667636317
6,0.934617055609144,0.596408151207452,0.736402902922453,0.78417223927423,0.17911005293777,0.497044396087736,0.42321395645438,0.493020556394056,930633203.281474,255525.485744822
7,0.825549239475068,0.500071862957715,0.647431651973402,0.638911633073251,0.143654625771079,0.368406430783167,0.379017975525013,0.280360738874487,124571828.68123,104389.07381767
8,0.612117980321728,0.394123682815179,0.612956718250542,0.845627923468324,0.162564054444149,0.319441473302601,0.403192329346863,0.363540184593922,612691227.646258,217627.364135587
9,0.74896066219352,0.383800551318274,0.521832026440028,0.878685317030677,0.12773886243789,0.232580147884866,0.357405739234683,0.231433922658319,194571080.152424,138351.080354288
10,0.820910757863766,0.850565531104118,0.940367688836229,0.452659641003307,0.576510146103076,0.423137881715866,0.759282652312745,0.369966454274238,3591090041.57827,279778.670343464
11,0.829447697042084,0.735151237178601,0.838782534597972,0.534599400867151,0.35151131710398,0.422999624364121,0.592883898502886,0.447216156258756,2840876755.59785,318684.890161268
12,0.894787678872156,0.520303603088,0.742338008552752,0.862869123151875,0.282861929848767,0.507421709252783,0.531847656616786,0.443252236111217,25201827827.6468,1058117.02477848
13,0.87130277897568,0.547070721677786,0.765311491516778,0.901214314097612,0.331627402726984,0.401805278123965,0.575870994865155,0.412177272468772,23629772040.8494,946257.845303656
14,0.823381852122334,0.531846406906619,0.719376177999827,0.441659818913991,0.247457895264924,0.260212856144487,0.497451399902467,0.264146508452341,18261756589.3991,962998.364463688
15,0.923810419165137,0.725026396967136,0.866474054354835,0.708385417512833,0.416964877918795,0.560194037749344,0.645728176494409,0.543844514531498,31415369879.1233,973030.118550193
16,0.925528109292637,0.669259394687658,0.827259206221791,0.549683679103056,0.423519824156739,0.369178700800377,0.650784007299456,0.464355143165158,13941984998.1183,643176.792785948
17,0.819372566147268,0.539826973573757,0.668060765865949,0.518355872603762,0.230062333635911,0.326977691595281,0.479648135236562,0.325748545105239,25235316308.5062,1174049.87866884
