district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.845061907501176,0.463263337316526,0.65613912518925,0.660716222375282,0.179718057405501,0.313990714918339,0.423931665962217,0.312833486612963,315583461.801461,148547.789012478
2,0.846470565867763,0.49645725364203,0.692442435555954,0.772859710737657,0.296815388076516,0.427215792273679,0.544807661543518,0.397752070529271,14116470935.7398,773080.63517353
3,0.849227123732865,0.534396862075227,0.721426316341295,0.628812816775089,0.149170566949321,0.389498648185321,0.386226056797469,0.342155277472252,112209974.06102,97225.2554361122
4,0.880918769210777,0.533401738562186,0.748312654546588,0.791437028751282,0.186731151689955,0.467555614921999,0.43212400036327,0.356455109212728,166431301.501318,105831.279996917
5,0.799741881278505,0.532447380159607,0.657695487141587,0.975750196134956,0.165255187881363,0.371614854922515,0.406515913441729,0.336395421171884,385114663.526535,171128.525523148
6,0.902505726603414,0.553502748697714,0.73664436583626,0.9995328206413,0.197360405811254,0.485572593802158,0.444252637371185,0.463527260869026,752295601.007073,218861.402756033
7,0.805985226478214,0.472302383622624,0.638135045416077,0.791988466080329,0.174001414553908,0.382358067437744,0.417134767855556,0.337135599670671,506713882.985138,191297.786211722
8,0.916551591811591,0.634934043087879,0.807015882522031,0.7186466076059,0.21028894129737,0.479561728963432,0.458572721928998,0.437095255502943,698969071.251508,204374.023172342
9,0.922221738434716,0.676416647330998,0.885013627728166,0.685408364993536,0.347108058722044,0.490508599720706,0.589158772082742,0.565707169933748,1906807778.70166,262739.906563658
10,0.829411620161497,0.774870319332367,0.876318911926409,0.469313646283004,0.376814979433107,0.385785125537499,0.613852571415244,0.347318380662574,3636080605.36791,348223.121035509
11,0.855176760447684,0.663936814358505,0.795110380951057,0.663379178904347,0.393062823122549,0.401492022282433,0.626947225149413,0.367867297008227,4077332479.28205,361045.561868386
12,0.823455605287956,0.40151726589111,0.613486379336377,0.899684258071516,0.194104281671122,0.353983591001742,0.440572674675951,0.347200534240364,27774252615.0227,1340937.58859896
13,0.849721195249136,0.576189267892457,0.754018615844511,0.94663796859251,0.331768286605984,0.441800992224255,0.575993304306555,0.419175839389015,23496942731.8392,943394.144364394
14,0.785977838410005,0.565995637414938,0.709341097474258,0.858187288229693,0.283742715451974,0.473596966832197,0.532675056157104,0.378088280286081,2348895026.12328,322533.16314461
15,0.827326785816018,0.547134401277066,0.787934131661987,0.608340975727485,0.324359889705647,0.293607896959967,0.569526021974104,0.275504761415141,30003479341.8427,1078144.99264067
16,0.884456162033732,0.63563453664726,0.822363622405474,0.713267388694767,0.3846557248124,0.502594877203973,0.620206195399884,0.466907237509836,24403288451.2949,892879.821907914
17,0.820737701826067,0.518042968907583,0.662678088437201,0.767304855505951,0.35372257733667,0.356456081546449,0.594745809011438,0.425157794345854,15329861243.0585,737976.705835145
