district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.883464913266708,0.576975406646482,0.75002950898939,0.973449709178199,0.232547429873456,0.575016686841171,0.482231718029265,0.439423936721265,2068021851.62533,334292.56818304
2,0.824296473594375,0.486347498326722,0.737736965326609,0.888328228694909,0.241924343429994,0.406660691044598,0.491858052114625,0.311286405036043,429213353.779336,149314.422591085
3,0.897954610081545,0.62368378365222,0.711232236389391,0.817931349116684,0.154519748696849,0.50979084520415,0.393090000759176,0.386083352766495,203600477.425328,128677.41608984
4,0.726858664699834,0.363731775064284,0.528841636328778,0.93407461808207,0.103047945155753,0.29113986939749,0.321010817817333,0.222753340520572,324590491.396099,198954.222429064
5,0.793305194879635,0.570050525207371,0.736704911657084,0.939556326931826,0.192460837548101,0.33718565216094,0.438703587343551,0.2978694915594,377736744.332552,157046.53643278
6,0.832495603000416,0.433758568226036,0.632724962466611,0.688278112909909,0.138568996040982,0.321849911562586,0.372248567547253,0.262187395222094,756838468.706631,261983.232231862
7,0.833408194072295,0.575899640568703,0.704068715369729,0.627569327980569,0.146275861222437,0.377522156210585,0.382460274044818,0.308401690331873,116458322.124892,100023.918541092
8,0.899554710238001,0.586091612115905,0.764845082620319,0.698635173610812,0.218732215260859,0.487556306326492,0.467688160274406,0.426242622117369,782372853.29531,212009.559056969
9,0.917537313384697,0.667997898969064,0.90778866889141,0.662061793200662,0.402705727235199,0.475264571467751,0.634590992084822,0.538229854728791,1949207987.06599,246626.71602198
10,0.821088687782456,0.851101204872898,0.940959918694478,0.452659641003307,0.547466322341365,0.423404367783692,0.73990967174471,0.366916112301203,3593351657.72219,287194.479902952
11,0.807159942565753,0.642503997832513,0.829997187193399,0.782793745678493,0.372885786036468,0.444485631863992,0.610643747234399,0.424934572108909,3306442155.7953,333808.569969458
12,0.901639412820092,0.605551868988583,0.802238632564537,0.999299846413866,0.332953351791167,0.563466167279335,0.577021101686209,0.511357777664222,27694840683.5561,1022380.76943218
13,0.904529843964984,0.543289917675118,0.775306432484327,0.84674441913878,0.385419112769925,0.429658333259335,0.620821321130263,0.412914412867508,17273570492.2185,750463.140901799
14,0.876622966675924,0.584067728807743,0.762180698184424,0.905539535069701,0.318401338440699,0.527149888860481,0.564270625179709,0.423445331732697,16655991244.7945,810779.448262124
15,0.802014676791019,0.493232610097554,0.60956576830392,0.664440217440194,0.202132617723759,0.384985104199031,0.449591612159034,0.316392057179715,25769787854.29,1265733.14679057
16,0.896511186876937,0.61336494274379,0.763989010316621,0.98664996433429,0.412550933755255,0.561829310028838,0.642301279584009,0.50073238003259,18125560122.8867,743039.433977234
17,0.889829340975738,0.600897908333217,0.808342111391689,0.650043245439712,0.401541509343212,0.449867803233144,0.633673030310752,0.443764682608376,30603144403.3921,978639.485094282
