district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.837758116185317,0.453952540030116,0.683097112044927,0.74943298007208,0.218878128123702,0.383622395133333,0.46784412802097,0.419855275409381,313786821.507809,134221.194369192
2,0.753163569045793,0.582094202972996,0.698077301819573,0.522928537938335,0.18414347003519,0.329901955415168,0.429119412326208,0.238511126986765,886197542.313359,245918.975697984
3,0.899051850312503,0.498749979159255,0.670246096929686,0.704823345087111,0.166376538930025,0.364081858528975,0.407892803233919,0.406609831581838,178705863.896522,116179.175717687
4,0.879800765322375,0.485929814511994,0.67575835873998,0.613761896567304,0.180804862120852,0.342217529845944,0.425211549844136,0.349400769746934,408317184.610537,168460.741727246
5,0.667733796099819,0.389768625971324,0.576562196904514,0.890676707556081,0.159575820638631,0.32259672444996,0.399469423909554,0.268272738837041,2432431162.02464,437664.849323248
6,0.868785863486037,0.481179691436427,0.690594005140589,0.547186418738822,0.163552945280258,0.315245091271252,0.40441679648632,0.307874004644703,479788592.050763,191999.768955924
7,0.900777826387314,0.594040887468782,0.73240452191407,0.902865984251796,0.218466129255054,0.556996949620424,0.467403604238408,0.496678055959231,121749394.874169,83684.741835072
8,0.916891503985184,0.705485950843321,0.840648384053005,0.69270881525761,0.232901559473173,0.50763869453665,0.482598756186931,0.51253526785074,611304886.121076,181613.307305678
9,0.919257249481454,0.690591277650179,0.923553578402958,0.664908559003926,0.419364702324754,0.470343223569682,0.64758374155375,0.527788016375854,2006107337.32632,245180.585887324
10,0.82352525363387,0.821464538997359,0.921654699356602,0.464056866100486,0.497341219234344,0.418805397540939,0.705224233300547,0.366015584390837,3554321079.38376,299678.808468149
11,0.821113479728336,0.697438315464537,0.83441152488563,0.561435859664133,0.411699174938864,0.432596181072246,0.641637884588234,0.447216098158866,2905327486.32102,297791.625326148
12,0.880945134612003,0.599354158919144,0.76147511401766,0.761317009084872,0.243152763867292,0.50655802978038,0.493105225958205,0.406335889707287,41923034904.9002,1471945.34387408
13,0.786634782313711,0.456768791993886,0.527545599753248,0.612850818876382,0.163388329290401,0.209137467223289,0.404213222557601,0.200640951644168,18239363509.9401,1184402.33654158
14,0.859669358288256,0.466610361215031,0.646498609308573,0.825161284174329,0.243453084084108,0.440587000508244,0.493409651389297,0.385685213122321,15466886548.2962,893508.609758077
15,0.83539875153144,0.42255671093456,0.6306542472853,0.921595408602602,0.236548352393978,0.371842344130846,0.486362367370233,0.316755278744091,25960400028.9839,1174358.39965053
16,0.750542532407667,0.330627915251368,0.585090781405891,0.879665834222052,0.179822615160582,0.247952842058996,0.424054967145277,0.221604995249778,19260779599.5998,1160164.86295248
17,0.817715933117591,0.516433269435033,0.660618968569832,0.767304855505951,0.334510572435594,0.355348476191506,0.578368889581376,0.425157794345854,15282227222.2566,757693.103083027
