district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.88000514841801,0.537986140991222,0.733060970292144,0.509265110560228,0.177139970715164,0.330982946430643,0.420879995622463,0.38323604965044,340489861.509252,155417.078222475
2,0.900114451884886,0.631262359850802,0.784309105957257,0.900628842242534,0.28560829484669,0.565700965224251,0.534423329250034,0.5322410255983,1953942360.51881,293207.71804482
3,0.808546449773573,0.560825984834022,0.680000335621107,0.984763811828695,0.187171668555505,0.417172313244885,0.432633411279694,0.382354276056628,237573033.379496,126294.211993381
4,0.891053602509136,0.553919564377917,0.732740142451089,0.727075020571498,0.144727724225889,0.349876752380414,0.380430971696429,0.361573519374396,236104272.46947,143179.548461615
5,0.767431385549484,0.440021968168478,0.596585351354835,0.953290992935099,0.153291421980055,0.336981238090181,0.391524484521793,0.229810779142273,689383374.136769,237725.849622117
6,0.835046039937048,0.497317801570599,0.693332340419025,0.747338112665458,0.181615140325445,0.455403355992765,0.426163278950035,0.387144949166295,548517052.264045,194815.709027083
7,0.944479718499967,0.785277771544252,0.887958134275712,0.803645089881939,0.349330429318003,0.590645655030646,0.591041816894543,0.614515049957103,1889828639.38149,260734.161480653
8,0.793057508901424,0.611402231551205,0.803048749587382,0.799572519415207,0.473622993886082,0.461579460527038,0.688202727316655,0.422946656844154,3465952716.47363,303249.336597745
9,0.839411839838357,0.499245518899733,0.774627596515075,0.763377103490588,0.241358453722266,0.323450551714246,0.491282458187005,0.375397180395504,124784890.494789,80603.6439063576
10,0.832946935442072,0.811806144997588,0.922234321684957,0.475052004133039,0.532880797765538,0.424558461088961,0.729986847666133,0.36691613275386,3603146226.24155,291494.819171086
11,0.828943877483228,0.425344618708722,0.579482381082705,0.833727679648793,0.130430334955202,0.352111497382827,0.361151401707376,0.271857659286727,713752753.315522,262234.317582365
12,0.912357411357694,0.621114066126641,0.824835459535705,0.954971626784735,0.380924613654522,0.622027163310342,0.617190905356294,0.581596856807234,26513592221.4134,935232.736783733
13,0.870693188743124,0.624278150170272,0.783595333764693,0.93311520540813,0.435390446190242,0.590407259348181,0.659841228016439,0.479870684438141,18703792351.2935,734734.310027144
14,0.839656100833972,0.474335819340206,0.614589150410743,0.900709026031225,0.213687020838745,0.331615962529055,0.462262934744659,0.315475352200186,12430506289.8566,854988.490916314
15,0.787969120397629,0.553173996804935,0.744486569647653,0.553685553599764,0.242690919693705,0.348561223730812,0.492636701529337,0.277580283010107,33831523490.0156,1323545.71365159
16,0.885487600622385,0.584143710008533,0.709564873065964,0.977862757630457,0.302416186673073,0.475745153113222,0.549923800787957,0.444725913511476,18699155544.5755,881481.927594524
17,0.914654641414196,0.678704331641797,0.830051287386972,0.989505858978423,0.433050977378848,0.581373109816246,0.658066088914212,0.551321357941353,26048684087.0675,869417.374313598
