district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.873914421933139,0.625443857224091,0.862340800641501,0.789783957140671,0.379706918904451,0.480901279369783,0.616203634283709,0.418164847259866,1934039327.16277,252995.809067702
2,0.836354017550754,0.552447150978417,0.744877369037182,0.449842466822046,0.207287680206536,0.309242705705252,0.455288568060451,0.30303947300018,398082202.712736,155347.606837335
3,0.917364143902731,0.583990751156426,0.806983227642434,0.896416314487001,0.283623904426437,0.540365557326905,0.532563521494326,0.559876186558441,152533742.954376,82208.4538142517
4,0.819834239191856,0.515006645102044,0.658971781101087,0.952716912099594,0.151547109817191,0.478520042256844,0.389290521098563,0.418819960256666,536459717.392008,210911.208963651
5,0.831323086661797,0.47984509585444,0.688282129706372,0.674009920034981,0.167573861856638,0.367849595295299,0.409357865267834,0.343650894728706,458721503.153978,185471.140342303
6,0.905486662891226,0.639306670151058,0.806895109289801,0.748360172943194,0.326836396205547,0.54611247151629,0.571696069783191,0.532811774977102,698410431.976154,163868.351306587
7,0.815438137466222,0.49664401786408,0.658801774831988,0.505302681366557,0.138383455605888,0.314894898565285,0.371999268286764,0.314735885358345,117545147.336113,103315.432649809
8,0.913893194016495,0.62522956803631,0.832360820296738,0.80205874658461,0.294509687294618,0.563628043455705,0.542687467419893,0.547632302989569,751490464.146648,179067.543864394
9,0.93415416688413,0.765369771372344,0.921448177537338,0.789659169118114,0.407024022116157,0.58569268164512,0.637984343159107,0.609370512753917,1873981115.78704,240534.577553491
10,0.837187381860736,0.670740252827412,0.848572723633101,0.546270552645499,0.345525631096448,0.444468767021593,0.587814282827874,0.385365329936585,3419589679.40991,352656.421594055
11,0.811343949820938,0.64548325604238,0.821443164852699,0.612034695457493,0.345561438928831,0.436423654348781,0.587844740496018,0.449638224033465,2931032898.89752,326477.038078294
12,0.903591730516446,0.563544347824767,0.744745317820214,0.999299846413866,0.276112067048967,0.583032219903976,0.525463668628924,0.540872285315884,25614380538.4058,1079702.64939267
13,0.894561527071588,0.538890382531706,0.746675920458743,0.981152859258721,0.312914845777361,0.439952207870251,0.559387920657357,0.474297737928965,25459908164.1642,1011160.89204079
14,0.76036904796989,0.388106393667313,0.605395162007448,0.918944440367596,0.248009968674636,0.351341108765437,0.498005992609161,0.371496548871556,12863267822.8074,807320.572108054
15,0.887301344235661,0.675628874955314,0.81881091206932,0.496080844018144,0.312613558282924,0.421913763318668,0.559118554765377,0.449130952463614,31834081921.5226,1131220.30487012
16,0.762209368717466,0.605531276592434,0.785479134096468,0.622498063082586,0.404888784924925,0.405889297739926,0.636308718253118,0.373207208669504,22656544061.5212,838559.514386568
17,0.870485923674732,0.628485831342652,0.7502379447333,0.878185289892682,0.418778900170881,0.443681278259752,0.647131285112133,0.433773208911196,18330660425.0564,741654.424786601
